Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Document Type,Publication Stage,Open Access,Source,EID
"W., Zhengye, Wang; W., Liu, Wanlin; Z., Zhenqun, Zhao","Zhengye, Wang (57918620100); Liu, Wanlin (55512805500); Zhenqun, Zhao (57218531539)",57918620100; 55512805500; 57218531539,Advance in the mechanisms underlying miRNAs in steroid-induced osteonecrosis of the femoral head,2026,Chinese Journal of Tissue Engineering Research,30,5,,1207,1214,0,0,10.12307/2026.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010705697&doi=10.12307%2F2026.003&partnerID=40&md5=cd05201ae359a2ea12cdcad09cbfa881,"BACKGROUND: The pathogenesis of steroid-induced osteonecrosis of the femoral head is complex, involving vascular endothelial injury, osteocyte apoptosis, inflammatory responses, and bone metabolism disorders. MicroRNAs (miRNAs), as key regulators of gene expression, play an important role in steroid-induced osteonecrosis of the femoral head. OBJECTIVE: To comprehensively analyze the regulatory role of miRNAs in steroid-induced osteonecrosis of the femoral head and to evaluate their potential as biomarkers and therapeutic tools. METHODS: Relevant literature was retrieved from PubMed, Web of Science, CNKI, and WanFang databases using specific keywords, and articles were selected based on the inclusion and exclusion criteria. By reading titles, abstracts, or full texts, articles with poor relevance or repetitive content were excluded, and 76 articles were finally included for analysis. RESULTS AND CONCLUSION: miRNAs regulate gene expression by binding to the 3' untranslated region of target mRNAs, affecting cell differentiation, proliferation, apoptosis, and stress responses. Specific miRNAs such as miR-33-5p, miR-99a, miR-106b-5p, miR-155, miR-146a, and miR-21 play a central regulatory role in vascular injury, inflammatory responses, osteocyte differentiation, and apoptosis in steroid-induced osteonecrosis of the femoral head. Additionally, the expression patterns of miRNAs are closely related to the pathogenesis of steroid-induced osteonecrosis of the femoral head, showing potential as biomarkers. Although miRNAs shows great potential as biomarkers in therapeutic strategies, the current limitation of sample size and lack of multipopulation validation restrict the universality and reliability of the results. Moreover, the efficacy and safety of miRNA therapeutic strategies (including offtarget effects and delivery issues) remain major challenges in realizing clinical applications. © 2025 Elsevier B.V., All rights reserved.",Article,Final,,Scopus,2-s2.0-105010705697
"M., Song, Minwoo; M., Ha, Minji; S., Shin, Sol; M., Kim, Minjin; S., Son, Soyoung; J., Lee, Jihyun; G., Hwang, Guiwon; J., Kim, Jeongyun; V.H., Duong, Van Hieu; J.H., Park, Jae Hyung","Song, Minwoo (58768187000); Ha, Minji (58785922500); Shin, Sol (57192834809); Kim, Minjin (59377777900); Son, Soyoung (55923871300); Lee, Jihyun (57208671751); Hwang, Guiwon (57211408718); Kim, Jeongyun (57226722590); Duong, Van Hieu (58786274000); Park, Jae Hyung (56113586400)",58768187000; 58785922500; 57192834809; 59377777900; 55923871300; 57208671751; 57211408718; 57226722590; 58786274000; 56113586400,"A Hierarchical Short Microneedle-Cupping Dual-Amplified Patch Enables Accelerated, Uniform, Pain-Free Transdermal Delivery of Extracellular Vesicles",2026,Nano-Micro Letters,18,1,11,,,0,0,10.1007/s40820-025-01853-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011277090&doi=10.1007%2Fs40820-025-01853-7&partnerID=40&md5=c285817121f29f6ee78672b4057352d6,"A bio-inspired dual-amplified patch (MN@EV/SC) was fabricated by integrating extracellular vesicle-loaded microneedles with a soft suction chamber for effective transdermal delivery. The MN@EV/SC system achieved an exceptional penetration depth of 290 μm, while minimizing plasma corticosterone levels with short microneedles, ensuring patient comfort through pain-free application. This system showed the potential for dermatological application by revitalizing dermal fibroblasts, and enhancing collagen synthesis through effective delivery of extracellular vesicles while preserving their biological functionality. © 2025 Elsevier B.V., All rights reserved.",Article,Final,,Scopus,2-s2.0-105011277090
"W., Yu, Weilun; X., Yang, Xiaohang; X., Huo, Xuyang; F., Yang, Fengjian; R., Ou, Renxia; Q., Hou, Qi; null; C., Li, Chunming; X., Wu, Xiaogang; W., Chen, Weiyi","Yu, Weilun (56537325600); Yang, Xiaohang (57216470677); Huo, Xuyang (15022468000); Yang, Fengjian (57733423000); Ou, Renxia (56233465500); Hou, Qi (57212404465); Li, Chunming (59500581200); Wu, Xiaogang (55714964800); Chen, Weiyi (57219136973)",56537325600; 57216470677; 15022468000; 57733423000; 56233465500; 57212404465; 60084277900; 59500581200; 55714964800; 57219136973,Influence of intramedullary pressure on fluid flow in Haversian canals and lacuno-canalicular network; 髓内压对哈弗氏管和骨陷窝-小管网络中流体流动的影响,2026,Acta Mechanica Sinica/Lixue Xuebao,42,8,624471,,,0,0,10.1007/s10409-024-24471-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015063185&doi=10.1007%2Fs10409-024-24471-x&partnerID=40&md5=c8ba79f0d5707bc28df45170f5d81b3c,"The seepage behavior of bone fluid is the main pathway of osteocyte metabolism, and the pore pressure, fluid velocity, and fluid shear stress generated by it are the main fluid flow stimuli perceived by mechanically sensitive osteocytes. However, the impact of intramedullary pressure (IMP) on the fluid behavior of interstitial fluid in bone remains unclear. The purpose of this study was to evaluate the effect of IMP on the fluid flow behavior in the Haversian canals and lacuno-canalicular network (LCN). This study established a multiscale finite element model of bone tissue based on the theory of poroelasticity, considering the interconnection of different pore scales such as bone marrow cavity, Haversian canals, and LCN. The effects of IMP frequency and amplitude on Haversian canal pore pressure (p<inf>Hc</inf>) and flow velocity (v<inf>Hc</inf>), as well as on LCN pore pressure (p<inf>lc</inf>), flow velocity (v<inf>lc</inf>), and fluid shear stress (τ), were analyzed. In this model, we assumed that IMP is a pulsating liquid pressure that is synchronized with arterial blood pressure and respiration, located within the bone marrow cavity and acting on the inner wall of bone tissue. We considered the stepwise conduction of pore pressure at different pore scales. As the initial pressure condition of the overall model, IMP was calculated to obtain p<inf>Hc</inf> and v<inf>Hc</inf>, while p<inf>Hc</inf> was calculated as the initial pressure condition of the next scale model to obtain p<inf>lc</inf>, v<inf>lc</inf>, and τ. The results indicated that IMP had a significant impact on the fluid flow of bone. The p<inf>Hc</inf> and p<inf>lc</inf> significantly increased with the increase in IMP amplitude, and the frequency of IMP had a significant impact on the peak p<inf>Hc</inf> over time. The multilevel pore model established in this study provides a more accurate analysis of the fluid flow behavior within bones, which is of great significance for a deeper understanding of bone internal force conduction and is crucial for a better understanding of bone adaptation based on IMP. © 2025 Elsevier B.V., All rights reserved.",Article,Final,,Scopus,2-s2.0-105015063185
"D., Redhono, Dhani; A., Dwijayanto, Aji; A., Diyas, Achmad; S., Marwanta, Sri; A., Arifin, Arifin; S., Budi, Satriyo; E., Nurhayatun, Evi","Redhono, Dhani (56721275200); Dwijayanto, Aji (60086642100); Diyas, Achmad (60086351200); Marwanta, Sri (57396415300); Arifin, Arifin (57716785600); Budi, Satriyo (60086642200); Nurhayatun, Evi (57894203200)",56721275200; 60086642100; 60086351200; 57396415300; 57716785600; 60086642200; 57894203200,The role of platelet lysate exosomes in reducing oxidative stress and inflammation in rat model of sepsis,2026,Journal of Medicinal and Pharmaceutical Chemistry Research,8,4,,830,844,0,0,10.48309/jmpcr.2026.525606.1704,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015205573&doi=10.48309%2Fjmpcr.2026.525606.1704&partnerID=40&md5=b309dd90f49c29b0cd795a2449ab654a,"Sepsis is a life-threatening condition characterized by systemic inflammation, endothelial dysfunction, and multiorgan failure. Platelet lysate exosomes have emerged as a potential therapeutic intervention due to their anti-inflammatory and regenerative properties. This study aimed to investigate the effect of platelet lysate exosomes on reducing levels of C-reactive protein (CRP), E-selectin, creatinine, neutrophil gelatinase-associated lipocalin (NGAL), malondialdehyde (MDA), and caspase-3 in sepsis model rats. A post-test-only experimental study was conducted on 36 Sprague-Dawley rats divided into six groups: (K1) healthy control, (K2) sepsis model, (K3) sepsis model with standard therapy, (K4) sepsis model with 10 μl platelet lysate exosome therapy, (K5) sepsis model with a combination of standard treatment and 10 μl platelet lysate exosome, and (K6) sepsis model with 20 μl platelet lysate exosome therapy. Blood serum CRP, E-selectin, creatinine, NGAL, MDA, and caspase-3 levels were measured using ELISA. The results demonstrated that CRP, E-selectin, creatinine, NGAL, MDA, and caspase-3 levels were highest in the sepsis-only group (K2) and lowest in the healthy control group (K1). A significant gradual reduction (p<0.05) was observed across treatment groups (K3-K6), with no significant difference between K5 and K6 (p>0.05). These findings demonstrate a synergistic effect when platelet lysate exosomes are combined with standard therapy. Integrating platelet lysate exosomes with current standard treatments could enhance therapeutic outcomes in sepsis and warrants further investigation in clinical studies to explore their translational potential. © 2025 Elsevier B.V., All rights reserved.",Article,Final,,Scopus,2-s2.0-105015205573
"Z., Ji, Zhongqing; J., Zhu, Jiangfeng; J., Liu, Jinming; B., Wei, Bin; Y., Shen, Yixin; Y., Hu, Ya'nan","Ji, Zhongqing (57207966919); Zhu, Jiangfeng (60001815600); Liu, Jinming (57221234996); Wei, Bin (60000899700); Shen, Yixin (7404766910); Hu, Ya'nan (55768895600)",57207966919; 60001815600; 57221234996; 60000899700; 7404766910; 55768895600,Trends in the application of chondroitinase ABC in injured spinal cord repair,2026,Neural Regeneration Research,21,4,,1304,1321,0,0,10.4103/NRR.NRR-D-24-01354,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010947807&doi=10.4103%2FNRR.NRR-D-24-01354&partnerID=40&md5=cd1e1b1b5b060bdd381da2cf439d1f6e,"Spinal cord injuries have overwhelming physical and occupational implications for patients. Moreover, the extensive and long-term medical care required for spinal cord injury significantly increases healthcare costs and resources, adding a substantial burden to the healthcare system and patients’ families. In this context, chondroitinase ABC, a bacterial enzyme isolated from Proteus vulgaris that is modified to facilitate expression and secretion in mammals, has emerged as a promising therapeutic agent. It works by degrading chondroitin sulfate proteoglycans, cleaving the glycosaminoglycanchains of chondroitin sulfate proteoglycans into soluble disaccharides or tetrasaccharides. Chondroitin sulfate proteoglycans are potent axon growth inhibitors and principal constituents of the extracellular matrix surrounding glial and neuronal cells attached to glycosaminoglycan chains. Chondroitinase ABC has been shown to play an effective role in promoting recovery from acute and chronic spinal cord injury by improving axonal regeneration and sprouting, enhancing the plasticity of perineuronal nets, inhibiting neuronal apoptosis, and modulating immune responses in various animal models. In this review, we introduce the classification and pathological mechanisms of spinal cord injury and discuss the pathophysiological role of chondroitin sulfate proteoglycans in spinal cord injury. We also highlight research advancements in spinal cord injury treatment strategies, with a focus on chondroitinase ABC, and illustrate how improvements in chondroitinase ABC stability, enzymatic activity, and delivery methods have enhanced injured spinal cord repair. Furthermore, we emphasize that combination treatment with chondroitinase ABC further enhances therapeutic efficacy. This review aimed to provide a comprehensive understanding of the current trends and future directions of chondroitinase ABC-based spinal cord injury therapies, with an emphasis on how modern technologies are accelerating the optimization of chondroitinase ABC development. © 2025 Elsevier B.V., All rights reserved.",Review,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-105010947807
"I.M., Yañez, Ivan Millan; I., Torres-Cuevas, Isabel; M., Corral-Debrinski, Marisol","Yañez, Ivan Millan (60001363200); Torres-Cuevas, Isabel (55768505800); Corral-Debrinski, Marisol (6602186163)",60001363200; 55768505800; 6602186163,Neuroglobin: A promising candidate to treat neurological diseases,2026,Neural Regeneration Research,21,4,,1292,1303,0,1,10.4103/NRR.NRR-D-24-01503,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010869670&doi=10.4103%2FNRR.NRR-D-24-01503&partnerID=40&md5=41b00ad1cd0dc822e3d0de8a1dc76672,"Neurodevelopmental and neurodegenerative illnesses constitute a global health issue and a foremost economic burden since they are a large cause of incapacity and death worldwide. Altogether, the burden of neurological disorders has increased considerably over the past 30 years because of population aging. Overall, neurological diseases significantly impair cognitive and motor functions and their incidence will increase as societies age and the world’s population continues to grow. Autism spectrum disorder, motor neuron disease, encephalopathy, epilepsy, stroke, ataxia, Alzheimer’s disease, amyotrophic lateral sclerosis, Huntington’s disease, and Parkinson’s disease represent a non-exhaustive list of neurological illnesses. These affections are due to perturbations in cellular homeostasis leading to the progressive injury and death of neurons in the nervous system. Among the common features of neurological handicaps, we find protein aggregation, oxidative stress, neuroinflammation, and mitochondrial impairment in the target tissues, e.g., the brain, cerebellum, and spinal cord. The high energy requirements of neurons and their inability to produce sufficient adenosine triphosphate by glycolysis, are responsible for their dependence on functional mitochondria for their integrity. Reactive oxygen species, produced along with the respiration process within mitochondria, can lead to oxidative stress, which compromises neuronal survival. Besides having an essential role in energy production and oxidative stress, mitochondria are indispensable for an array of cellular processes, such as amino acid metabolism, iron-sulfur cluster biosynthesis, calcium homeostasis, intrinsic programmed cell death (apoptosis), and intraorganellar signaling. Despite the progress made in the last decades in the understanding of a growing number of genetic and molecular causes of central nervous diseases, therapies that are effective to diminish or halt neuronal dysfunction/death are rare. Given the genetic complexity responsible for neurological disorders, the development of neuroprotective strategies seeking to preserve mitochondrial homeostasis is a realistic challenge to lastingly diminish the harmful evolution of these pathologies and so to recover quality of life. A promising candidate is the neuroglobin, a globin superfamily member of 151 amino acids, which is found at high levels in the brain, the eye, and the cerebellum. The protein, which localizes to mitochondria, is involved in electron transfer, oxygen storage and defence against oxidative stress; hence, possessing neuroprotective properties. This review surveys up-to-date knowledge and emphasizes on existing investigations regarding neuroglobin physiological functions, which remain since its discovery in 2000 under intense debate and the possibility of using neuroglobin either by gene therapy or its direct delivery into the brain to treat neurological disorders. © 2025 Elsevier B.V., All rights reserved.",Review,Final,,Scopus,2-s2.0-105010869670
"J., Jie, Jing; X., Yao, Xiaomin; H., Deng, Hui; Y., Zhou, Yuxiang; X., Jiang, Xingyu; X., Dai, Xiu; Y., Yang, Yumin; P., Yang, Pengxiang","Jie, Jing (59875967800); Yao, Xiaomin (58885625100); Deng, Hui (58885415800); Zhou, Yuxiang (60001568200); Jiang, Xingyu (60001568300); Dai, Xiu (56742640100); Yang, Yumin (59672049800); Yang, Pengxiang (57201871494)",59875967800; 58885625100; 58885415800; 60001568200; 60001568300; 56742640100; 59672049800; 57201871494,Regulatory T cells in neurological disorders and tissue regeneration: Mechanisms of action and therapeutic potentials,2026,Neural Regeneration Research,21,4,,1277,1291,0,0,10.4103/NRR.NRR-D-24-01363,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010844481&doi=10.4103%2FNRR.NRR-D-24-01363&partnerID=40&md5=de13c77777520b14478b2e9c70cde81d,"Regulatory T cells, a subset of CD4+ T cells, play a critical role in maintaining immune tolerance and tissue homeostasis due to their potent immunosuppressive properties. Recent advances in research have highlighted the important therapeutic potential of Tregs in neurological diseases and tissue repair, emphasizing their multifaceted roles in immune regulation. This review aims to summarize and analyze the mechanisms of action and therapeutic potential of Tregs in relation to neurological diseases and neural regeneration. Beyond their classical immune-regulatory functions, emerging evidence points to non-immune mechanisms of regulatory T cells, particularly their interactions with stem cells and other non-immune cells. These interactions contribute to optimizing the repair microenvironment and promoting tissue repair and nerve regeneration, positioning non-immune pathways as a promising direction for future research. By modulating immune and non-immune cells, including neurons and glia within neural tissues, Tregs have demonstrated remarkable efficacy in enhancing regeneration in the central and peripheral nervous systems. Preclinical studies have revealed that Treg cells interact with neurons, glial cells, and other neural components to mitigate inflammatory damage and support functional recovery. Current mechanistic studies show that Tregs can significantly promote neural repair and functional recovery by regulating inflammatory responses and the local immune microenvironment. However, research on the mechanistic roles of regulatory T cells in other diseases remains limited, highlighting substantial gaps and opportunities for exploration in this field. Laboratory and clinical studies have further advanced the application of regulatory T cells. Technical advances have enabled efficient isolation, ex vivo expansion and functionalization, and adoptive transfer of regulatory T cells, with efficacy validated in animal models. Innovative strategies, including gene editing, cell-free technologies, biomaterial-based recruitment, and in situ delivery have expanded the therapeutic potential of regulatory T cells. Gene editing enables precise functional optimization, while biomaterial and in situ delivery technologies enhance their accumulation and efficacy at target sites. These advancements not only improve the immune-regulatory capacity of regulatory T cells but also significantly enhance their role in tissue repair. By leveraging the pivotal and diverse functions of Tregs in immune modulation and tissue repair, regulatory T cells–based therapies may lead to transformative breakthroughs in the treatment of neurological diseases. © 2025 Elsevier B.V., All rights reserved.",Review,Final,,Scopus,2-s2.0-105010844481
"H., Zhang, Hongbing; Y., Mu, Yalin; H., Li, Hongsong; X., Li, Xiaogang","Zhang, Hongbing (56732091100); Mu, Yalin (60001331600); Li, Hongsong (57221873713); Li, Xiaogang (56043964800)",56732091100; 60001331600; 57221873713; 56043964800,Unfolded protein response in endoplasmic reticulum stress associated with retinal degenerative diseases: A promising therapeutic target,2026,Neural Regeneration Research,21,4,,1339,1352,0,0,10.4103/NRR.NRR-D-24-01124,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010837697&doi=10.4103%2FNRR.NRR-D-24-01124&partnerID=40&md5=a769f02d0b557f67fd806b1206e6ad6c,"The unfolded protein response is a cellular pathway activated to maintain proteostasis and prevent cell death when the endoplasmic reticulum is overwhelmed by unfolded proteins. However, if the unfolded protein response fails to restore endoplasmic reticulum homeostasis, it can trigger pro-inflammatory and pro-death signals, which are implicated in various malignancies and are currently being investigated for their role in retinal degenerative diseases. This paper reviews the role of the unfolded protein responsein addressing endoplasmic reticulumstress in retinal degenerative diseases. The accumulation of ubiquitylated misfolded proteins can lead to rapid destabilization of the proteome and cellular demise. Targeting endoplasmic reticulum stress to alleviate retinal pathologies involves multiple strategies, including the use of chemical chaperones such as 4-phenylbutyric acid and tauroursodeoxycholic acid, which enhance protein folding and reduce endoplasmic reticulum stress. Small molecule modulators that influence endoplasmic reticulum stress sensors, including those that increase the expression of the endoplasmic reticulum stress regulator X-box binding protein 1, are also potential therapeutic agents. Additionally, inhibitors of the RNAse activity of inositol-requiring transmembrane kinase/endoribonuclease 1, a key endoplasmic reticulum stress sensor, represent another class of drugs that could prevent the formation of toxic aggregates. The activation of nuclear receptors, such as PPAR and FXR, may also help mitigate ER stress. Furthermore, enhancing proteolysis through the induction of autophagy or the inhibition of deubiquitinating enzymes can assist in clearing misfolded proteins. Combination treatments that involve endoplasmic-reticulum-stress-targeting drugs and gene therapies are also being explored. Despite these potential therapeutic strategies, significant challenges remain in targeting endoplasmic reticulum stress for the treatment of retinal degeneration, and further research is essential to elucidate the mechanisms underlying human retinal diseases and to develop effective, well-tolerated drugs. The use of existing drugs that target inositol-requiring transmembrane kinase/endoribonuclease 1 and X-box binding protein 1 has been associated with adverse side effects, which have hindered their clinical translation. Moreover, signaling pathways downstream of endoplasmic reticulum stress sensors can contribute to therapy resistance. Addressing these limitations is crucial for developing drugs that can be effectively used in treating retinal dystrophies. In conclusion, while the unfolded protein response is a promising therapeutic target in retinal degenerative diseases, additional research and development efforts are imperative to overcome the current limitations and improve patient outcomes. © 2025 Elsevier B.V., All rights reserved.",Review,Final,,Scopus,2-s2.0-105010837697
"P.D., Correia, Patrícia D.; B.M., de Sousa, Bárbara M.; J., Chato-Astrain, Jesús; J.P., de Faria, Joana Paes; V., Estrada, Veronica; J.B., Relvas, João Bettencourt; H.W., Müller, Hans Werner; V.S., Carriel Araya, V. S.; F., Bosse, Frank; S.I., Vieira, Sandra Isabel","Correia, Patrícia D. (57205681241); de Sousa, Bárbara M. (58725413600); Chato-Astrain, Jesús (57203317900); de Faria, Joana Paes (59997644600); Estrada, Veronica (55003863600); Relvas, João Bettencourt (6602197103); Müller, Hans Werner (35598479600); Carriel Araya, V. S. (43860983400); Bosse, Frank (7003426496); Vieira, Sandra Isabel (7102450045)",57205681241; 58725413600; 57203317900; 59997644600; 55003863600; 6602197103; 35598479600; 43860983400; 7003426496; 7102450045,Injury-induced KIF4A neural expression and its role in Schwann cell proliferation suggest a dual function for this kinesin in neural regeneration,2026,Neural Regeneration Research,21,4,,1607,1620,0,0,10.4103/NRR.NRR-D-24-00232,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010729370&doi=10.4103%2FNRR.NRR-D-24-00232&partnerID=40&md5=a5d774c3678effcc6f5b34ecbdf2b68d,"Contrary to the adult central nervous system, the peripheral nervous system has an intrinsic ability to regenerate that relies on the expression of regeneration-associated genes, such as some kinesin family members. Kinesins contribute to nerve regeneration through the transport of specific cargo, such as proteins and membrane components, from the cell body towards the axon periphery. We show here that KIF4A, associated with neurodevelopmental disorders and previously believed to be only expressed during development, is also expressed in the adult vertebrate nervous system and up-regulated in injured peripheral nervous system cells. KIF4A is detected both in the cell bodies and regrowing axons of injured neurons, consistent with its function as an axonal transporter of cargoes such as β1-integrin and L1CAM. Our study further demonstrates that KIF4A levels are greatly increased in Schwann cells from injured distal nerve stumps, particularly at a time when they are reprogrammed into an essential proliferative repair phenotype. Moreover, Kif4a mRNA levels were approximately ~6-fold higher in proliferative cultured Schwann cells compared with non-proliferative ones. A hypothesized function for Kif4a in Schwann cell proliferation was further confirmed by Kif4a knockdown, as this significantly reduced Schwann cell proliferation in vitro. Our findings show that KIF4A is expressed in adult vertebrate nervous systems and is up-regulated following peripheral injury. The timing of KIF4A up-regulation, its location during regeneration, and its proliferative role, all suggest a dual role for this protein in neuroregeneration that is worth exploring in the future. © 2025 Elsevier B.V., All rights reserved.",Article,Final,,Scopus,2-s2.0-105010729370
"X., Ma, Xiao; Z., Wang, Zitong; Y., Niu, Yinuo; J., Zhao, Jie; X., Wang, Xiaorui; X., Wang, Xuan; F., Yang, Fang; D., Wei, Dong; Z., Sun, Zhongqing; W., Jiang, Wen","Ma, Xiao (59997734000); Wang, Zitong (59997734100); Niu, Yinuo (59997734200); Zhao, Jie (59998613900); Wang, Xiaorui (59998031300); Wang, Xuan (56308897100); Yang, Fang (57192077434); Wei, Dong (55026992800); Sun, Zhongqing (57209280082); Jiang, Wen (35261927200)",59997734000; 59997734100; 59997734200; 59998613900; 59998031300; 56308897100; 57192077434; 55026992800; 57209280082; 35261927200,Stem cell repair strategies for epilepsy,2026,Neural Regeneration Research,21,4,,1428,1446,0,0,10.4103/NRR.NRR-D-24-01337,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010682937&doi=10.4103%2FNRR.NRR-D-24-01337&partnerID=40&md5=76e308d1f02dc1c30e440a2c905c5621,"Epilepsy is a serious neurological disorder; however, the effectiveness of current medications is often suboptimal. Recently, stem cell technology has demonstrated remarkable therapeutic potential in addressing various neurological diseases, igniting interest in its applicability for epilepsy treatment. This comprehensive review summarizes different therapeutic approaches utilizing various types of stem cells. Preclinical experiments have explored the use and potential therapeutic effects of mesenchymal stem cells, including genetically modified variants. Clinical trials involving patient-derived mesenchymal stem cells have shown promising results, with reductions in the frequency of epileptic seizures and improvements in neurological, cognitive, and motor functions reported. Another promising therapeutic strategy involves neural stem cells. These cells can be cultured outside the body and directed to differentiate into specific cell types. The transplant of neural stem cells has the potential to replace lost inhibitory interneurons, providing a novel treatment avenue for epilepsy. Embryonic stem cells are characterized by their significant capacity for self-renewal and their ability to differentiate into any type of somatic cell. In epilepsy treatment, embryonic stem cells can serve three primary functions: neuron regeneration, the maintenance of cellular homeostasis, and restorative activity. One notable strategy involves differentiating embryonic stem cells into γ-aminobutyric acidergic neurons for transplantation into lesion sites. This approach is currently undergoing clinical trials and could be a breakthrough in the treatment of refractory epilepsy. Induced pluripotent stem cells share the same genetic background as the donor, thereby reducing the risk of immune rejection and addressing ethical concerns. However, research on induced pluripotent stem cell therapy remains in the preclinical stage. Despite the promise of stem cell therapies for epilepsy, several limitations must be addressed. Safety concerns persist, including issues such as tumor formation, and the low survival rate of transplanted cells remains a significant challenge. Additionally, the high cost of these treatments may be prohibitive for some patients. In summary, stem cell therapy shows considerable promise in managing epilepsy, but further research is needed to overcome its existing limitations and enhance its clinical applicability. © 2025 Elsevier B.V., All rights reserved.",Review,Final,,Scopus,2-s2.0-105010682937
